Block Height,Timestamp,Token ID,Owner,Price (USD)
13698934,1618758026,2273548,0xae4e691713632afc,65.00000000
13698934,1618758026,8087158,0x38f39cec5a7d32f9,63.00000000
13698936,1618758031,2459373,0x68bcb8658ac5a615,98.00000000
13698936,1618758031,8470377,0x1c16895625a4895e,6.00000000
13698937,1618758037,3863441,0xad9bf014c88949d1,6.00000000
13698937,1618758037,2429510,0x63193ad53943d7cf,7.00000000
13698937,1618758037,1156857,0xa3ee3e60bbcc6734,75.00000000
13698937,1618758037,3243590,0xad52a8ed7fa06010,5.00000000
13698937,1618758037,6600730,0x37457d9862f6dcd6,6.00000000
13698937,1618758037,983194,0x9ff90c9360dbfbd9,1750.00000000
13698939,1618758043,2538180,0x70bdac677cae5c64,49.00000000
13698939,1618758043,8121790,0xa7f68d7d089e2762,150.00000000
13698940,1618758045,8107736,0xac7816a4ff3c2d6a,30.00000000
13698941,1618758048,6537358,0xc0075e35951d65ed,40.00000000
13698942,1618758051,7621473,0x30c3510ceb8664ab,8000.00000000
13698944,1618758056,4512067,0xcf34779750745b95,29.00000000
13698944,1618758056,4512433,0xb18777b754e5b255,32.00000000
13698944,1618758056,2555659,0xa2fa597ae0934628,10.00000000
13698945,1618758058,8080417,0xb2e69df6f446fd8c,35.00000000
13698946,1618758061,1125305,0xcf2025f02889951e,53.00000000
13698946,1618758061,1154759,0x4231b91b19ee2c34,57.00000000
13698946,1618758061,8895,0x0552b12feb1a32a1,939.00000000
13698946,1618758061,57285,0x80ac893190156b87,369.00000000
13698946,1618758061,6063725,0x70bde117f7ad79bf,275.00000000
13698946,1618758061,3934311,0x3450e1d8f416e20f,15.00000000
13698947,1618758063,5273645,0xce76f7329e06a1b3,142.00000000
13698947,1618758063,1952178,0x0716538c66aa5487,21.00000000
13698947,1618758063,1020856,0xec1ff46a4433b943,160.00000000
13698948,1618758066,6961332,0xd1380fbf9b269d82,7.00000000
13698948,1618758066,938250,0x27c19008a45c20e3,799.00000000
13698949,1618758068,2088846,0x816d2bad42dfd721,505.00000000
13698949,1618758068,3940069,0x3b8762fb95de9ed4,4.00000000
13698950,1618758074,6873455,0x9a4f5bb312952867,6.00000000
13698950,1618758074,3087211,0xbfd08be5f9f6e9d3,19.00000000
13698950,1618758074,7250054,0xae66f75de44ba381,10.00000000
13698951,1618758076,2102768,0xed5a36f98add024f,51.00000000
13698952,1618758079,5274231,0xed8b366ab0d82c70,132.00000000
13698952,1618758079,4698728,0x1389b0a6a6821489,17.00000000
13698954,1618758084,6762921,0x95090fae2639b841,11.00000000
13698954,1618758084,8149557,0x8de47e3532b27a63,43.00000000
13698955,1618758087,3470360,0x227232f9122e1723,5.00000000
13698955,1618758087,2273869,0x413bea9544af261e,65.00000000
13698956,1618758089,3560087,0x00574f992f93db3d,6.00000000
13698956,1618758089,5294773,0x5e4fe1b732696ed3,49.00000000
13698956,1618758089,4247136,0xdc52537ec74bff64,77.00000000
13698957,1618758092,6543845,0xabcde2d09fd8ef5a,9.00000000
13698957,1618758092,4045562,0x3f22ff1ea7e68643,1989.00000000
13698958,1618758094,1049122,0xc5d18fea395b871c,29.00000000
13698959,1618758097,7821541,0x1b8eb420e6e2a8a9,5.00000000
13698960,1618758099,7008181,0x4260f37b97ea1d3b,7.00000000
13698960,1618758099,3690805,0x8a6810da3fff1378,6.00000000
13698960,1618758099,952047,0x58b2a1e87893fd27,108.00000000
13698962,1618758104,4273929,0x59c981ad86ec7512,26.00000000
13698963,1618758107,1117002,0xa3ee3e60bbcc6734,79.00000000
13698963,1618758107,5066099,0xa958011e9e9b2124,6.00000000
13698963,1618758107,2451328,0x2b482b78220a7723,60.00000000
13698964,1618758110,8119628,0x221ce605e6e2e152,45.00000000
13698965,1618758112,2209704,0x2587c54ced4ce391,75.00000000
13698965,1618758112,3830659,0x75924107d60b40e9,6.00000000
13698965,1618758112,8125439,0x16b54c9699c8d638,70.00000000
13698966,1618758115,6950788,0x71cacba0a77bef05,5.00000000
13698966,1618758115,1958222,0x76e4dd9ac061ec4d,22.00000000
13698966,1618758115,3715240,0x0c4b092b5484789a,6.00000000
13698966,1618758115,6728222,0xad9bf014c88949d1,5.00000000
13698967,1618758117,7086785,0xe0fac317b2c4c143,7.00000000
13698968,1618758120,1291733,0x43740d82ec293a46,204.00000000
13698968,1618758120,8113272,0x01dd9c7b914ed784,35.00000000
